episode,reward,return,hold_actions,buy_actions,sell_actions
124,-6093.201655130473,-60.932016551304734,734,852,634
125,49665.81745778586,496.65817457785863,726,859,635
126,32074.598376006004,320.74598376006,726,863,631
127,-57.22876368897596,-0.5722876368897567,738,845,637
128,5644.910789641286,56.54800386931127,676,875,669
129,22632.098301984497,226.52725988218592,704,867,649
130,16478.249272593494,164.94986934173474,692,861,667
131,1313.8974670747648,13.21049306496056,749,846,625
132,11301.828797719329,113.15294295297372,742,844,634
133,41170.81105902047,412.03157597851697,749,852,619
134,-8038.761650495103,-80.38761650495108,707,843,670
135,12530.28801863348,125.44530060555252,714,862,644
136,7335.231300510838,73.35231300510839,731,842,647
137,8035.382340118627,80.46783023108152,742,838,640
138,6307.560793262664,63.178692706450846,752,836,632
139,11618.14174861924,116.18141748619242,689,886,645
140,6161.239941159965,61.71455924930767,726,857,637
141,371.78385484174396,3.7834015719979908,718,870,632
142,3114.8832085900594,31.23173502806511,710,829,681
143,2383.1157004904035,23.831157004904036,758,865,597
144,61.05490026775078,0.6105490026775184,704,875,641
145,-2265.3589742485865,-22.65358974248587,706,860,654
146,18692.381341948858,186.92381341948857,724,815,681
147,11981.783381562465,119.81783381562465,713,828,679
148,14151.062950757398,141.66329531047697,745,816,659
149,10080.114978778263,100.92808195974831,721,855,644
150,67692.41158123619,677.4152318521693,723,890,607
151,-2899.868977751831,-28.998689777518315,732,843,645
152,8845.694891605093,88.45694891605093,769,837,614
153,9263.944046252014,92.63944046252016,711,857,652
154,11052.947699159926,110.66255871849968,709,868,643
155,6768.625835792547,67.68625835792548,806,779,635
156,6815.284275174719,68.25913699147262,731,871,618
157,555.0565790850214,5.617287333939958,711,861,648
158,-3624.7946716240185,-36.20764721297963,746,810,664
159,12968.25548274074,129.82774376471022,711,846,663
160,15494.72324529323,155.1083919183342,735,850,635
161,20742.367168763078,207.42367168763076,703,864,653
162,13606.816439710456,136.06816439710454,734,817,669
163,69.16348418358211,0.7552849151683638,722,918,580
164,-4220.454679003235,-42.20454679003236,709,829,682
165,13104.795085527108,131.0479508552711,695,884,641
166,11701.205596094587,117.01205596094586,684,884,652
167,10389.291396059562,103.8929139605956,739,821,660
168,1229.027095186284,12.290270951862837,704,863,653
169,-6953.727693163091,-69.51802056976675,736,807,677
170,8147.624988947806,81.59096623738245,718,909,593
171,8963.902658121591,89.63902658121592,698,896,626
172,-4876.946828748403,-48.73708399751317,734,821,665
173,-3473.9883004105614,-34.69863021047481,727,847,646
174,19049.08551810022,190.67448279082043,713,867,640
175,21265.42366246445,212.8518743442043,735,810,675
176,16223.528699006361,162.40105344398518,733,858,629
177,7522.248830823621,75.33325147389387,746,838,636
178,50448.95028532531,504.87161802345355,737,851,632
179,-1436.4647424545237,-14.310514859512935,741,833,646
180,-4534.132840085187,-45.3067770852336,748,818,654
181,1249.0083181787013,12.561191393059467,754,833,633
182,593.984662624498,6.006814244927394,710,831,679
183,10341.572407678668,103.4157240767867,739,846,635
184,130537.93444206397,1306.2677250539755,750,806,664
185,18245.112611133223,182.45112611133223,694,884,642
186,-1126.704690963963,-11.210956262386883,713,859,648
187,3976.936105602469,39.76936105602471,750,835,635
188,256.46636881662744,2.629497756808963,729,848,643
189,42.059236255085125,0.484071102150363,696,885,639
190,9720.415577523483,97.32881418401217,730,873,617
191,24126.13893354065,241.47711045753226,702,868,650
192,17834.047089379314,178.5164178968548,720,857,643
193,22635.24334359456,226.55873017899756,768,828,624
194,2756.693601760544,27.56693601760545,734,859,627
195,107090.8696105087,1071.6488611097554,719,830,671
196,12617.565531055,126.31862743598185,747,839,634
197,-24.04452418188157,-0.17738436306801164,728,863,629
198,4062.2915508587193,40.622915508587184,723,861,636
199,3273.238088649463,32.81628483532113,710,860,650
200,6642.11344671603,66.52633404436013,751,834,635
201,10695.34954515142,107.08431669781339,754,836,630
202,6549.033558540166,65.49033558540167,696,889,635
203,28668.388971993503,286.92832370867546,735,836,649
204,6028.97924337788,60.39111621364286,749,798,673
205,1301.0098574714439,13.08153550264688,721,864,635
206,7636.018674988456,76.36018674988456,745,834,641
207,10684.725797902345,106.84725797902344,705,883,632
208,14249.083255047688,142.49083255047688,738,870,612
209,9762.45878280275,97.6245878280275,765,819,636
210,9412.35259421691,94.12352594216911,718,865,637
211,-2131.287236945146,-21.26313197689673,708,869,643
212,-142.01096650692034,-1.4201096650692135,729,805,686
213,31926.400386610097,319.529032680398,745,819,656
214,21482.910625969187,215.02811877679045,756,856,608
215,52095.37958924103,521.3463186149457,731,811,678
216,-265.2176372882441,-2.652176372882442,722,853,645
217,33473.27393636314,334.73273936363137,722,859,639
218,10285.443011356667,102.85443011356668,728,880,612
219,13243.859954930813,132.5855306616082,759,826,635
220,16793.510992632375,167.93510992632378,749,829,642
221,5838.352834061823,58.48364711621841,714,868,638
222,-119.16215739362815,-1.1916215739362856,732,862,626
223,1672.7040882445326,16.727040882445323,716,849,655
224,9402.468524550095,94.02468524550096,738,819,663
225,8132.519414346119,81.3251941434612,710,816,694
226,31704.424521994188,317.30787086106744,761,827,632
227,14605.329334642869,146.0532933464287,742,858,620
228,-6206.416512989882,-62.040184799504814,728,892,600
229,17904.97822426528,179.0497822426528,679,818,723
230,6972.529179707952,69.83258002699296,728,853,639
231,-3921.269896472537,-39.174273566481844,740,871,609
232,19682.617026993037,197.01380261430907,753,817,650
233,136822.6374156932,1369.1544822021597,704,834,682
234,63220.94037867093,632.2094037867093,738,855,627
235,21605.05420403253,216.05054204032533,707,879,634
236,20230.263992560904,202.4937341036915,741,839,640
237,53062.51090141281,531.0237452513601,697,837,686
238,24498.441799516026,245.20249255059338,752,863,605
239,32633.277793674126,326.60227512607946,720,858,642
240,-6032.509620954203,-60.32509620954215,767,846,607
241,6508.152145478456,65.08152145478456,722,897,601
242,-1227.134109135719,-12.215885287290929,739,816,665
243,23413.846255849356,234.13846255849356,710,862,648
244,11939.851273561122,119.5372008346435,724,825,671
245,1046.7640800497147,10.53747056787422,766,843,611
246,12763.463222152513,127.77852660815098,723,830,667
247,58426.389990192416,584.6964427588952,711,898,611
248,-3226.8441090821734,-32.22562602780018,758,853,609
249,13888.804481766845,139.03905280949215,743,850,627
250,4537.644757152171,45.46834419792256,719,845,656
251,20605.454136986096,206.05454136986094,718,866,636
252,-4012.6091116840353,-40.12609111684034,734,828,658
253,10756.166523977616,107.69287092765963,745,819,656
254,28900.16892093522,289.0016892093522,710,869,641
255,50835.642388938264,508.74098345139294,707,874,639
256,37168.225360821074,371.98041750314576,724,863,633
257,16119.485236454937,161.3599611298723,726,868,626
258,-3901.56480136792,-38.97709805387193,779,814,627
259,16645.718754586134,166.45718754586136,781,813,626
260,17160.252462625056,171.60252462625056,708,889,623
261,1927.6338137149378,19.351736135018704,716,868,636
